frame,body_landmark,x,y,z,visibility,hand_label
5,HAND_18,0.782951,0.955895,-0.114232,0.0,Right
5,HAND_19,0.787163,0.91751,-0.13224,0.0,Right
5,HAND_20,0.78372,0.879155,-0.145712,0.0,Right
5,HAND_0,0.163663,1.119527,0.0,0.0,Left
5,HAND_1,0.22503,1.069159,-0.029312,0.0,Left
5,HAND_2,0.262848,1.000988,-0.042359,0.0,Left
5,HAND_3,0.284495,0.930595,-0.054557,0.0,Left
5,HAND_4,0.296465,0.864149,-0.067069,0.0,Left
5,HAND_5,0.211029,0.908212,-0.011793,0.0,Left
5,HAND_6,0.21855,0.829205,-0.036166,0.0,Left
5,HAND_7,0.235141,0.795746,-0.058211,0.0,Left
5,HAND_8,0.257513,0.768843,-0.072942,0.0,Left
5,HAND_9,0.175204,0.904346,-0.011918,0.0,Left
5,HAND_10,0.181009,0.813919,-0.031408,0.0,Left
5,HAND_11,0.194797,0.762053,-0.052251,0.0,Left
5,HAND_12,0.217571,0.718233,-0.068183,0.0,Left
5,HAND_13,0.140547,0.920836,-0.01752,0.0,Left
5,HAND_14,0.140298,0.835822,-0.038177,0.0,Left
5,HAND_15,0.152112,0.782475,-0.055604,0.0,Left
5,HAND_16,0.174631,0.739053,-0.067743,0.0,Left
5,HAND_17,0.106508,0.952106,-0.026109,0.0,Left
5,HAND_18,0.100295,0.887994,-0.045211,0.0,Left
5,HAND_19,0.107347,0.847113,-0.055719,0.0,Left
5,HAND_20,0.123595,0.813828,-0.062837,0.0,Left
6,NOSE,0.433142,0.682903,-0.980193,0.999949,N/A
6,LEFT_EYE_INNER,0.46625,0.6261,-0.936758,0.999936,N/A
6,LEFT_EYE,0.484406,0.627792,-0.936773,0.999926,N/A
6,LEFT_EYE_OUTER,0.500433,0.630256,-0.936566,0.999923,N/A
6,RIGHT_EYE_INNER,0.408029,0.626153,-0.926032,0.999918,N/A
6,RIGHT_EYE,0.388158,0.628976,-0.926015,0.999896,N/A
6,RIGHT_EYE_OUTER,0.373227,0.632038,-0.926209,0.999902,N/A
6,LEFT_EAR,0.529544,0.663289,-0.623462,0.999935,N/A
6,RIGHT_EAR,0.353756,0.672144,-0.548733,0.999891,N/A
6,MOUTH_LEFT,0.469548,0.756626,-0.85151,0.999892,N/A
6,MOUTH_RIGHT,0.401606,0.7545,-0.837134,0.999887,N/A
6,LEFT_SHOULDER,0.643199,0.959125,-0.412074,0.997386,N/A
6,RIGHT_SHOULDER,0.256526,0.950888,-0.299448,0.995935,N/A
6,LEFT_ELBOW,0.782006,1.349726,-0.933884,0.636327,N/A
6,RIGHT_ELBOW,0.12426,1.377315,-0.784305,0.629951,N/A
6,LEFT_WRIST,0.747429,1.038371,-1.460901,0.962334,N/A
6,RIGHT_WRIST,0.137723,1.060981,-1.559811,0.95777,N/A
6,LEFT_PINKY,0.755691,0.936271,-1.543493,0.953947,N/A
6,RIGHT_PINKY,0.139027,0.942977,-1.676733,0.940357,N/A
6,LEFT_INDEX,0.744993,0.899432,-1.437426,0.963823,N/A
6,RIGHT_INDEX,0.16275,0.904936,-1.606195,0.953756,N/A
6,LEFT_THUMB,0.72592,0.937222,-1.448391,0.949508,N/A
6,RIGHT_THUMB,0.17384,0.944072,-1.559082,0.942659,N/A
6,LEFT_HIP,0.581888,1.683564,-0.076545,0.001957,N/A
6,RIGHT_HIP,0.321406,1.692632,0.081364,0.002008,N/A
6,LEFT_KNEE,0.599681,2.184392,-0.237238,0.00405,N/A
6,RIGHT_KNEE,0.358673,2.246348,-0.236514,0.001544,N/A
